,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent
0,L. Richards,-356807,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,Wales,['Wales'],Gloucester City,0,3,90,Gloucester City,"['CB', 'RCB']",22.0,,0,0.19,0,0.0,15.0,66.67,unknown,0,0,False,11.0,4.0,75.0,10.0,60.0,0.0,0.0,5.0,8.0,8.89,1.0,1,1.0,0,0.0,1.0,0.0,0,0.0,0.19,0,0.0,1,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,1.0,0.0,1.0,18.0,61.11,12.0,50.0,2.0,100.0,3.0,66.67,11.0,72.73,7.0,42.86,29.37,37.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.55,0,,0,,0,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0,0.0
1,F. Tapp,468724,https://cdn5.wyscout.com/photos/players/public/g468724_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,4,244,Banbury United,"['DMF', 'RCB', 'RCB3']",24.0,,0,0.38,0,0.0,15.86,41.86,right,184,79,False,8.48,4.43,58.33,4.43,41.67,1.11,1.67,0.0,4.8,7.22,0.74,1,0.37,0,0.0,0.37,0.0,0,0.0,0.14,0,0.0,1,0.37,100.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,1.84,0.0,1.11,0.37,0.0,16.97,0.37,0.37,36.89,65.0,20.66,69.64,3.32,66.67,11.8,59.38,27.3,70.27,9.22,52.0,27.56,47.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,56.67,0.37,100.0,0.0,0.0,0.37,0.0,11.8,68.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
2,M. Parker,-533722,https://cdn5.wyscout.com/photos/players/public/g-533722_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4771_120x120.png,000000,England,['England'],Bishop's Stortford,0,2,135,Bishop's Stortford,"['LCB', 'RCB']",25.0,,0,0.0,0,0.0,11.33,47.06,right,188,0,False,9.33,4.0,66.67,4.0,16.67,0.0,0.0,0.0,6.67,10.34,2.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,100.0,0.0,0.67,0.0,32.67,0.67,0.0,47.33,87.32,19.33,75.86,1.33,100.0,22.0,96.97,44.67,88.06,2.67,75.0,20.39,23.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,58.33,0,,0,,0,0.0,0.0,0.0,,,1.33,,,0.0,0.0,0.0,0.0,0,0.0
3,N. Tunchatchawan,-536028,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,1,98,Farsley Celtic FC,"['LCB', 'LCB3']",19.0,,0,0.0,1,0.0,12.86,35.71,,0,0,False,10.1,4.59,40.0,7.35,25.0,0.0,0.0,0.0,8.27,10.38,1.84,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,0.0,0.0,19.29,66.67,8.27,33.33,2.76,100.0,7.35,87.5,15.61,82.35,3.67,0.0,25.09,47.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,33.33,0.92,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0,,0,,0,0.0,0.0,0.0,,,2.76,,,0.0,0.0,0.0,0.0,0,0.0
4,J. Leckie,-138641,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,6,596,Farsley Celtic FC,['RCB3'],20.0,2024-06-30,0,0.0,0,0.07,17.67,46.15,,0,0,False,9.21,6.64,50.0,4.98,57.58,0.0,0.0,0.45,5.89,9.21,1.66,2,0.3,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.91,33.33,0.0,0.15,0.0,12.08,0.3,0.15,28.69,66.84,19.03,59.52,3.32,90.91,3.93,84.62,17.21,77.19,11.17,51.35,28.72,43.25,0.01,0.15,0.0,0.0,0.0,0.0,0.15,9.51,47.62,1.81,58.33,1.06,42.86,0.91,0.15,9.36,74.19,0,,0,,0,0.0,0.0,0.0,,,2.57,,,0.0,0.0,0.0,0.0,0,0.0
5,H. Craven,-543215,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4931_120x120.png,000000,England,['England'],Rushall Olympic,0,1,98,Rushall Olympic,"['RCB', 'CB']",26.0,,0,0.0,0,0.0,23.88,57.69,,0,0,False,6.43,5.51,50.0,12.86,78.57,0.0,0.0,0.0,3.67,5.0,0.92,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,1.84,0.0,0.0,0.0,0.0,22.04,0.0,0.92,35.82,89.74,14.69,81.25,2.76,100.0,18.37,95.0,32.14,94.29,3.67,50.0,22.07,31.69,0.0,0.92,0.0,0.0,0.0,0.0,0.0,3.67,50.0,0.0,0.0,0.92,0.0,0.0,0.0,1.84,100.0,0,,0,,0,0.0,0.0,0.0,,,2.76,,,0.0,0.0,0.0,0.0,0,0.0
6,T. Edge,441236,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,9,471,Boston United,"['RCB', 'RCMF']",25.0,,0,0.4,0,0.0,17.77,50.54,right,183,0,False,6.88,4.59,62.5,6.31,51.52,0.19,0.31,0.38,3.82,6.12,0.38,1,0.19,0,0.0,1.53,0.0,0,0.0,0.08,0,0.0,5,0.96,40.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.0,0.0,1.91,60.0,3.25,41.18,0.57,1.53,0.38,26.18,0.0,0.19,43.18,78.76,17.77,67.74,4.39,86.96,15.1,89.87,34.39,88.89,8.6,40.0,20.03,36.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17,62.5,0.96,20.0,0.76,0.0,0.19,0.0,7.64,72.5,0,,0,,0,0.0,0.0,0.0,,,0.57,,,0.19,0.0,0.0,0.0,0,0.0
7,A. Gudger,-469584,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4922_120x120.png,FF0000,England,['England'],Brackley Town,0,16,1542,Brackley Town,"['LCB3', 'LCB']",31.0,,1,1.2,0,0.13,14.88,57.25,left,183,0,False,7.3,3.56,63.93,7.18,58.54,0.35,0.5,0.12,4.67,6.7,0.93,3,0.18,0,0.0,0.41,0.06,1,0.06,0.07,0,0.0,9,0.53,44.44,11.111,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.18,100.0,1.17,40.0,0.64,0.18,0.0,15.18,0.41,0.93,28.13,74.07,15.23,62.07,2.74,91.49,8.11,89.93,21.42,85.01,6.65,39.47,25.23,40.83,0.01,0.12,0.0,0.0,0.06,0.0,0.06,5.25,42.22,0.7,0.0,0.29,0.0,0.06,0.0,7.24,63.71,0,,0,,0,0.0,0.0,0.0,,,2.1,,,0.0,0.0,0.0,0.0,0,0.0
8,T. Lees,481164,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,40,3830,Darlington 1883,"['RCB', 'RCB3']",27.0,2025-06-30,2,1.8,0,0.06,18.4,64.24,,0,0,False,11.21,6.46,77.45,7.59,59.75,0.26,0.37,0.89,5.95,8.59,0.47,2,0.05,0,0.0,0.38,0.05,2,0.05,0.04,2,0.05,16,0.38,37.5,12.5,0.0,0.14,66.67,0.05,100.0,0.09,50.0,0.02,0.23,60.0,1.17,34.0,0.45,1.74,0.21,24.91,0.54,0.54,42.44,77.85,20.84,64.04,2.23,100.0,15.93,91.59,32.36,87.8,9.96,45.75,24.23,40.05,0.0,0.09,0.02,0.02,0.05,0.0,0.0,8.04,50.0,0.7,36.67,0.63,37.04,0.23,0.09,9.8,65.95,0,,0,,0,0.0,0.0,0.0,,,1.53,,,0.02,0.0,0.0,0.0,0,0.0
9,K. Callan-McFadden,213948,https://cdn5.wyscout.com/photos/players/public/g213948_100x130.png,https://cdn5.wyscout.com/photos/team/public/g20251_120x120.png,000000,Republic of Ireland,['Republic of Ireland'],King's Lynn Town,0,44,4221,King's Lynn Town,"['LCB3', 'RCB3']",29.0,2025-06-30,2,2.84,0,0.21,18.29,57.23,right,183,86,False,10.66,6.52,63.73,8.04,57.29,0.26,0.35,0.72,6.25,8.43,0.98,7,0.15,0,0.0,0.15,0.04,2,0.04,0.06,2,0.04,12,0.26,41.67,16.667,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.09,50.0,0.62,34.48,0.45,0.38,0.06,16.42,0.36,0.53,30.36,77.53,16.57,68.6,1.75,87.8,9.62,92.24,24.18,85.45,6.16,46.71,23.2,38.06,0.0,0.04,0.0,0.0,0.04,0.0,0.02,4.37,53.66,0.45,14.29,0.43,20.0,0.15,0.0,7.55,56.78,0,,0,,0,0.0,0.0,0.0,,,1.13,,,0.0,0.0,0.0,0.0,0,0.0
10,P. Downing,81654,https://cdn5.wyscout.com/photos/players/public/40646_100x130.png,https://cdn5.wyscout.com/photos/team/public/g35055_120x120.png,000000,England,['England'],Hereford FC,0,27,2594,Hereford FC,"['LCB', 'CB']",32.0,2024-06-30,1,1.01,0,0.0,16.69,66.11,right,185,79,False,9.26,5.17,77.18,7.63,63.18,0.24,0.35,0.52,5.03,7.3,0.21,5,0.17,0,0.0,0.45,0.03,1,0.03,0.04,0,0.0,12,0.42,41.67,8.333,0.0,0.14,25.0,0.1,0.0,0.03,100.0,0.03,0.35,60.0,1.04,53.33,0.56,1.14,0.03,21.48,0.1,0.49,42.12,81.22,21.16,71.97,2.85,93.9,14.61,92.16,32.68,87.26,9.3,60.82,23.64,41.36,0.0,0.0,0.03,0.03,0.07,50.0,0.0,7.77,66.07,0.94,37.04,0.59,47.06,0.28,0.03,10.76,70.32,0,,0,,0,0.0,0.0,0.0,,,2.05,,,0.0,0.0,0.0,0.0,0,0.0
11,W. Thornton,457977,https://cdn5.wyscout.com/photos/players/public/g457977_100x130.png,https://cdn5.wyscout.com/photos/team/public/g21882_120x120.png,000000,England,['England'],Scarborough Athletic,0,43,4217,Scarborough Athletic,"['LCB', 'RCB']",26.0,2024-06-30,1,2.41,0,1.0,23.52,64.34,right,0,0,False,10.63,7.94,76.08,7.36,61.74,0.09,0.13,0.36,4.5,6.62,0.66,8,0.17,1,0.02,0.3,0.02,1,0.02,0.05,1,0.02,19,0.41,26.32,5.263,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.34,56.25,2.37,36.04,0.85,0.11,0.0,9.6,0.38,0.98,25.89,74.11,13.74,63.04,1.71,93.75,7.94,90.05,21.17,80.14,4.7,47.27,22.33,39.19,0.02,0.09,0.02,0.0,0.02,0.0,0.11,3.67,50.58,0.36,41.18,0.17,25.0,0.28,0.0,6.96,57.06,0,,0,,0,0.0,0.0,0.0,,,1.43,,,0.0,0.0,0.0,0.0,0,0.0
12,B. Gooda,502613,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g21882_120x120.png,000000,England,['England'],Scarborough Athletic,0,43,3778,Scarborough Athletic,"['RCB', 'RCB3']",27.0,,0,1.62,1,0.29,17.53,61.55,,0,0,False,9.34,4.96,76.44,7.77,64.42,0.17,0.24,0.57,5.38,7.61,0.67,3,0.07,0,0.0,0.21,0.0,0,0.0,0.04,0,0.0,13,0.31,46.15,0.0,0.02,0.07,33.33,0.0,0.0,0.07,33.33,0.02,0.1,50.0,1.5,17.46,0.57,0.36,0.02,11.67,0.48,0.38,29.33,71.89,15.53,57.06,3.64,96.08,8.29,89.66,22.01,80.09,7.27,47.21,23.82,38.03,0.01,0.05,0.0,0.0,0.02,0.0,0.02,6.22,48.28,0.74,9.68,0.48,25.0,0.07,0.02,8.15,66.08,0,,0,,0,0.0,0.0,0.0,,,2.72,,,0.0,0.0,0.0,0.0,0,0.0
13,B. Nicholson,-227252,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,43,4054,Boston United,"['LB', 'LCB', 'LCB3']",25.0,2024-06-30,2,5.26,1,2.3,21.58,56.48,left,0,0,False,9.17,6.84,58.44,7.17,64.09,0.4,0.62,0.2,4.77,7.41,1.18,6,0.13,1,0.02,2.11,0.04,2,0.04,0.12,0,0.0,37,0.82,29.73,5.405,0.02,1.62,39.73,1.55,38.57,0.04,100.0,0.31,1.84,63.86,3.91,43.18,1.07,0.8,0.16,21.6,0.87,0.44,35.68,69.2,19.07,57.16,3.69,94.58,9.01,81.53,26.13,80.03,8.01,39.06,23.76,40.78,0.05,0.6,0.04,0.02,0.09,50.0,0.18,7.13,44.55,2.18,38.78,0.64,24.14,0.4,0.64,9.55,64.19,0,,0,,0,0.0,0.0,0.0,,,1.2,,,0.11,0.07,33.33,0.11,0,0.0
14,T. Leak,-148881,https://cdn5.wyscout.com/photos/players/public/g-148881_100x130.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,29,2668,Boston United,['LCB'],23.0,2024-06-30,3,2.46,0,0.3,15.15,50.11,left,188,80,False,8.47,4.52,61.94,7.93,47.23,0.3,0.45,0.67,5.36,7.99,0.64,5,0.17,0,0.0,0.13,0.1,3,0.1,0.08,1,0.03,13,0.44,23.08,23.077,0.0,0.1,0.0,0.07,0.0,0.03,0.0,0.0,0.1,33.33,0.54,31.25,0.64,0.74,0.03,19.6,0.2,0.3,34.41,77.55,17.54,64.62,1.79,92.45,12.45,93.5,26.58,86.04,7.72,49.34,23.84,37.66,0.01,0.1,0.0,0.0,0.03,0.0,0.0,5.6,48.19,0.51,13.33,0.24,28.57,0.03,0.0,8.26,63.67,0,,0,,0,0.0,0.0,0.0,,,1.11,,,0.03,0.0,0.0,0.0,0,0.0
15,Z. Lilly,-60591,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4922_120x120.png,FF0000,England,['England'],Brackley Town,0,38,3582,Brackley Town,"['LCB3', 'RCB3']",25.0,,5,3.86,0,0.58,19.4,64.9,,0,0,False,10.75,6.28,75.6,7.16,66.32,0.43,0.62,0.43,5.58,8.12,0.8,6,0.15,0,0.0,0.93,0.13,5,0.13,0.1,2,0.05,40,1.01,27.5,12.5,0.0,0.15,33.33,0.03,0.0,0.1,25.0,0.03,0.85,67.65,2.49,48.48,1.08,1.06,0.23,15.63,0.45,0.53,33.09,73.2,17.79,60.88,1.83,86.3,10.93,91.26,24.92,82.66,8.04,44.38,25.81,42.11,0.01,0.08,0.03,0.0,0.05,50.0,0.0,7.34,49.32,0.6,37.5,0.13,80.0,0.25,0.05,9.05,61.39,0,,0,,0,0.0,0.0,0.0,,,0.73,,,0.1,0.0,0.0,0.0,0,0.0
16,Z. Mills,138706,https://cdn5.wyscout.com/photos/players/public/g138706_100x130.png,https://cdn5.wyscout.com/photos/team/public/g737_120x120.png,000000,England,['England'],Boston United,0,32,2663,Boston United,"['RB', 'LCB', 'RCB3']",31.0,2024-06-30,0,0.32,3,2.15,15.21,52.22,right,183,83,False,7.37,4.8,59.86,2.94,52.87,0.51,0.77,0.54,3.99,6.02,0.91,7,0.24,0,0.0,2.26,0.0,0,0.0,0.01,0,0.0,6,0.2,33.33,0.0,0.1,1.72,31.37,0.03,0.0,1.59,31.91,0.27,2.47,64.38,4.77,48.94,0.54,1.12,0.41,20.08,0.68,0.91,35.49,74.86,16.39,65.77,3.58,95.28,10.85,84.11,28.76,82.96,5.04,42.95,21.75,35.05,0.07,0.51,0.03,0.0,0.14,50.0,0.34,7.0,55.56,1.89,48.21,0.41,16.67,0.34,0.57,9.23,72.89,0,,0,,0,0.0,0.0,0.0,,,1.15,,,0.03,0.0,0.0,0.07,0,0.0
17,A. Gudger,201408,https://cdn5.wyscout.com/photos/players/public/g201408_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4922_120x120.png,FF0000,England,['England'],Brackley Town,0,21,1947,Brackley Town,"['LCB3', 'LCB', 'CB']",31.0,,1,1.21,0,0.13,15.07,54.91,left,183,80,False,7.16,3.47,65.33,7.44,52.17,0.37,0.52,0.18,4.53,6.36,0.83,3,0.14,0,0.0,0.37,0.05,1,0.05,0.06,0,0.0,11,0.51,36.36,9.091,0.0,0.14,33.33,0.14,33.33,0.0,0.0,0.0,0.14,100.0,0.97,42.86,0.6,0.18,0.0,15.3,0.32,0.88,28.34,73.57,14.79,61.25,2.82,91.8,8.6,89.25,21.86,83.72,6.33,39.42,25.43,41.58,0.01,0.09,0.0,0.05,0.05,0.0,0.09,5.04,39.45,0.69,6.67,0.28,0.0,0.05,0.05,7.21,61.54,0,,0,,0,0.0,0.0,0.0,,,2.17,,,0.0,0.0,0.0,0.0,0,0.0
18,T. Lyttle,412888,https://cdn5.wyscout.com/photos/players/public/g412888_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4922_120x120.png,FF0000,England,['England'],Brackley Town,0,38,3360,Brackley Town,"['RCB3', 'RWB', 'RB']",27.0,,2,2.38,5,6.61,14.52,56.27,right,171,74,False,7.63,5.06,65.61,3.21,57.5,0.32,0.45,0.19,3.99,5.64,0.51,2,0.05,0,0.0,2.81,0.05,2,0.05,0.06,0,0.0,47,1.26,25.53,4.255,0.13,3.7,39.86,0.21,75.0,3.48,37.69,0.54,1.47,69.09,3.19,52.1,1.21,1.55,0.54,17.57,0.56,0.56,30.48,72.14,13.74,65.3,4.63,95.38,7.98,75.17,21.13,84.66,5.79,45.37,22.39,38.16,0.18,1.13,0.05,0.05,0.03,0.0,0.51,5.79,59.26,3.11,47.41,0.46,29.41,0.27,1.5,7.87,72.45,0,,0,,0,0.0,0.0,0.0,,,1.04,,,1.07,0.29,45.45,1.29,0,0.0
19,G. Carline,469738,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4922_120x120.png,FF0000,England,['England'],Brackley Town,0,38,3188,Brackley Town,"['RWB', 'RCB3', 'CB']",31.0,,4,2.73,2,1.78,28.85,54.7,right,185,74,False,10.59,6.24,73.76,13.64,55.69,0.37,0.54,0.23,5.62,8.33,0.51,2,0.06,0,0.0,0.96,0.11,4,0.11,0.08,3,0.08,22,0.62,31.82,18.182,0.06,1.27,44.44,0.31,45.45,0.93,42.42,0.11,0.48,41.18,2.79,33.33,0.93,0.65,0.2,19.0,0.93,0.85,37.94,73.14,20.33,63.89,3.02,92.52,9.63,82.4,29.67,82.3,7.06,40.0,20.55,33.51,0.05,0.9,0.06,0.06,0.03,0.0,0.28,7.54,52.06,2.09,39.19,0.37,15.38,0.42,0.51,9.57,71.98,0,,0,,0,0.0,0.0,0.0,,,0.68,,,0.03,0.0,0.0,0.03,0,0.0
20,R. McAuley,-558797,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g34054_120x120.png,000000,Northern Ireland,['Northern Ireland'],Peterborough Sports,0,6,490,Peterborough Sports,['CB'],,,0,0.04,0,0.0,15.43,65.48,,0,0,False,7.9,5.51,60.0,6.43,77.14,0.73,1.05,0.55,3.86,5.53,1.29,2,0.37,0,0.0,0.18,0.0,0,0.0,0.01,0,0.0,1,0.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,71.43,0.18,0.37,0.0,12.31,0.37,0.92,27.55,73.33,17.08,62.37,1.1,100.0,7.35,97.5,21.31,83.62,6.24,38.24,24.8,39.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,38.24,0.18,0.0,0.18,0.0,0.0,0.0,8.08,59.09,0,,0,,0,0.0,0.0,0.0,,,1.1,,,0.0,0.0,0.0,0.0,0,0.0
