,name,id,image,current_team_logo,current_team_color,birth_country_name,passport_country_names,current_team_name,market_value,total_matches,minutes_on_field,last_club_name,positions,age,contract_expires,goals,xg_shot,assists,xg_assist,duels_avg,duels_won,foot,height,weight,on_loan,successful_defensive_actions_avg,defensive_duels_avg,defensive_duels_won,aerial_duels_avg,aerial_duels_won,tackle_avg,possession_adjusted_tackle,shot_block_avg,interceptions_avg,possession_adjusted_interceptions,fouls_avg,yellow_cards,yellow_cards_avg,red_cards,red_cards_avg,successful_attacking_actions_avg,goals_avg,non_penalty_goal,non_penalty_goal_avg,xg_shot_avg,head_goals,head_goals_avg,shots,shots_avg,shots_on_target_percent,goal_conversion_percent,assists_avg,crosses_avg,accurate_crosses_percent,cross_from_left_avg,successful_cross_from_left_percent,cross_from_right_avg,successful_cross_from_right_percent,cross_to_goalie_box_avg,dribbles_avg,successful_dribbles_percent,offensive_duels_avg,offensive_duels_won,touch_in_box_avg,progressive_run_avg,accelerations_avg,received_pass_avg,received_long_pass_avg,foul_suffered_avg,passes_avg,accurate_passes_percent,forward_passes_avg,successful_forward_passes_percent,back_passes_avg,successful_back_passes_percent,vertical_passes_avg,successful_vertical_passes_percent,short_medium_pass_avg,accurate_short_medium_pass_percent,long_passes_avg,successful_long_passes_percent,average_pass_length,average_long_pass_length,xg_assist_avg,shot_assists_avg,pre_assist_avg,pre_pre_assist_avg,smart_passes_avg,accurate_smart_passes_percent,key_passes_avg,passes_to_final_third_avg,accurate_passes_to_final_third_percent,pass_to_penalty_area_avg,accurate_pass_to_penalty_area_percent,through_passes_avg,successful_through_passes_percent,deep_completed_pass_avg,deep_completed_cross_avg,progressive_pass_avg,successful_progressive_pass_percent,conceded_goals,conceded_goals_avg,shots_against,shots_against_avg,clean_sheets,save_percent,xg_save,xg_save_avg,prevented_goals,prevented_goals_avg,back_pass_to_gk_avg,goalkeeper_exits_avg,gk_aerial_duels_avg,free_kicks_taken_avg,direct_free_kicks_taken_avg,direct_free_kicks_on_target_percent,corners_taken_avg,penalties_taken,penalties_conversion_percent
21,M. Keegan,-503247,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/330_120x120.png,0000ff,England,['England'],Scunthorpe United,0,1,106,Scunthorpe United,['RCB'],,,0,0.0,0,0.0,17.83,47.62,,0,0,False,6.79,4.25,80.0,11.04,38.46,0.0,0.0,0.85,3.4,5.22,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,100.0,0.0,0.0,0.0,12.74,0.0,0.85,18.68,86.36,9.34,72.73,2.55,100.0,6.79,100.0,13.58,100.0,5.09,50.0,27.35,44.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,40.0,0.85,0.0,0.85,0.0,0.0,0.0,3.4,100.0,0,,0,,0,0.0,0.0,0.0,,,2.55,,,0.0,0.0,0.0,0.0,0,0.0
22,D. Adewoju,-247351,https://cdn5.wyscout.com/photos/players/public/g-247351_100x130.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,6,349,Farsley Celtic FC,"['LCB3', 'LB', 'LCB']",20.0,,0,0.0,0,0.0,23.21,53.33,unknown,193,0,False,12.64,10.06,71.79,5.93,65.22,0.0,0.0,0.0,5.42,8.87,1.55,1,0.26,0,0.0,0.26,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.26,0.77,33.33,4.38,17.65,0.26,0.77,0.26,10.06,0.26,0.26,26.3,66.67,14.7,57.89,2.84,90.91,4.9,89.47,18.83,72.6,6.96,55.56,22.17,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,42.86,0.52,0.0,0.26,0.0,0.0,0.0,7.74,60.0,0,,0,,0,0.0,0.0,0.0,,,1.03,,,0.0,0.0,0.0,0.0,0,0.0
23,C. Wise,-298108,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,2,19,Banbury United,"['RCB', 'CF']",28.0,,0,0.0,0,0.0,,,,0,0,False,,,,,,,0.0,,,15.0,,0,,0,,,,0,,,0,,0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,16.42,,,,,,,,,,,,,,,,,,0,,0,,0,0.0,0.0,,,,,,,,,,,0,0.0
24,L. Dolman,51047,https://cdn5.wyscout.com/photos/players/public/g51047_100x130.png,https://cdn5.wyscout.com/photos/team/public/2751_120x120.png,000000,England,['England'],Tamworth,0,24,2191,Tamworth,['LCB'],36.0,2024-06-30,1,1.16,1,0.77,12.73,60.65,right,188,0,False,5.75,3.16,74.03,5.79,59.57,0.16,0.23,0.33,3.25,4.6,0.49,5,0.21,0,0.0,0.29,0.04,1,0.04,0.05,1,0.04,12,0.49,33.33,8.333,0.04,0.04,100.0,0.04,100.0,0.0,0.0,0.04,0.08,100.0,0.29,57.14,0.66,0.16,0.0,4.85,0.21,0.21,17.42,73.82,9.57,62.66,1.48,91.67,4.97,90.08,12.28,82.61,5.09,52.42,24.55,40.05,0.03,0.21,0.0,0.0,0.0,0.0,0.08,3.45,48.81,0.37,33.33,0.33,12.5,0.21,0.04,4.72,63.48,0,,0,,0,0.0,0.0,0.0,,,1.19,,,0.0,0.0,0.0,0.0,0,0.0
25,C. Waller,-469365,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4806_120x120.png,000000,England,['England'],Banbury United,0,11,1090,Banbury United,"['LCB', 'CB', 'LCB3']",19.0,,1,0.87,0,0.0,20.15,59.43,,0,0,False,12.47,6.69,77.78,7.93,54.17,0.17,0.23,0.41,7.1,10.0,0.58,2,0.17,0,0.0,0.58,0.08,1,0.08,0.07,0,0.0,6,0.5,66.67,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,37.5,2.39,27.59,0.66,1.49,0.83,13.62,0.17,0.99,31.29,63.85,17.09,49.28,1.07,76.92,10.4,88.89,22.79,76.09,8.5,31.07,23.76,37.21,0.0,0.0,0.08,0.08,0.0,0.0,0.0,5.2,34.92,0.33,50.0,0.08,0.0,0.25,0.0,8.75,37.74,0,,0,,0,0.0,0.0,0.0,,,0.66,,,0.0,0.0,0.0,0.0,0,0.0
26,M. Derricott,-380567,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g35055_120x120.png,000000,England,['England'],Hereford FC,0,2,111,Hereford FC,"['RCB', 'LCB']",20.0,,0,0.0,0,0.0,10.54,46.15,,0,0,False,6.49,2.43,33.33,3.24,25.0,0.0,0.0,0.81,5.68,6.77,2.43,0,0.0,0,0.0,0.81,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,100.0,2.43,66.67,0.0,0.81,0.0,0.81,0.0,0.81,9.73,58.33,8.11,60.0,0.0,0.0,0.81,100.0,5.68,71.43,4.05,40.0,26.87,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,60.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0
27,J. Bainbridge,458110,https://cdn5.wyscout.com/photos/players/public/g458110_100x130.png,https://cdn5.wyscout.com/photos/team/public/2749_120x120.png,000000,England,['England'],Southport,0,19,1236,Southport,"['LCMF', 'RCMF', 'LCB3']",25.0,2024-06-30,3,2.21,0,0.08,20.24,55.76,right,183,0,False,7.86,5.83,63.75,5.68,66.67,0.44,0.6,0.36,3.71,5.07,1.17,2,0.15,0,0.0,1.24,0.22,3,0.22,0.16,1,0.07,15,1.09,46.67,20.0,0.0,0.8,18.18,0.22,0.0,0.51,28.57,0.22,1.24,47.06,4.08,41.07,1.89,1.02,0.22,11.65,0.8,0.87,24.47,72.32,10.63,62.33,4.0,94.55,5.53,76.32,20.75,77.89,2.91,47.5,17.7,26.61,0.01,0.15,0.0,0.0,0.07,0.0,0.07,4.88,59.7,1.17,25.0,0.22,33.33,0.22,0.22,4.81,63.64,0,,0,,0,0.0,0.0,0.0,,,0.51,,,0.0,0.0,0.0,0.07,0,0.0
28,B. Richards-Everton,201317,https://cdn5.wyscout.com/photos/players/public/g201317_100x130.png,https://cdn5.wyscout.com/photos/team/public/g4813_120x120.png,000000,England,['England'],Gloucester City,0,23,2283,Gloucester City,['LCB'],32.0,2024-06-30,0,0.33,0,0.0,16.75,56.94,left,193,89,False,8.59,4.49,69.3,7.06,64.25,0.35,0.46,0.59,5.12,6.68,0.67,2,0.08,0,0.0,0.2,0.0,0,0.0,0.01,0,0.0,3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,50.0,2.52,25.0,0.43,0.12,0.08,13.68,0.16,0.24,28.15,73.81,15.18,60.0,2.17,96.36,8.28,92.86,20.74,84.6,7.41,43.62,24.19,40.22,0.0,0.0,0.0,0.04,0.0,0.0,0.0,4.85,39.02,0.39,10.0,0.28,57.14,0.16,0.0,6.82,56.07,0,,0,,0,0.0,0.0,0.0,,,1.81,,,0.0,0.0,0.0,0.0,0,0.0
29,T. Hamilton,-51561,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g4931_120x120.png,000000,England,['England'],Rushall Olympic,0,15,631,Banbury United,"['CF', 'LCB', 'RAMF']",24.0,,0,0.62,0,0.23,27.1,35.26,,0,0,False,5.13,4.42,67.74,5.28,27.03,0.14,0.22,0.14,2.0,3.07,1.85,1,0.14,0,0.0,1.85,0.0,0,0.0,0.09,0,0.0,9,1.28,33.33,0.0,0.0,0.86,16.67,0.14,100.0,0.71,0.0,0.0,2.71,47.37,10.27,27.78,2.42,1.0,0.14,11.7,1.71,1.0,15.55,79.82,4.71,63.64,4.99,91.43,3.14,86.36,13.55,89.47,1.14,12.5,15.98,9.1,0.03,0.29,0.0,0.0,0.0,0.0,0.14,1.14,25.0,0.71,40.0,0.0,0.0,0.14,0.14,1.0,71.43,0,,0,,0,0.0,0.0,0.0,,,0.43,,,0.14,0.14,0.0,0.0,0,0.0
30,J. Sukar,428916,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g24446_120x120.png,000000,England,['England'],Darlington 1883,0,15,1295,Scarborough Athletic,"['LCB3', 'LCB', 'LB']",27.0,2024-06-30,0,0.01,0,0.15,15.01,61.57,left,181,0,False,8.34,5.42,75.64,3.54,58.82,0.28,0.39,0.42,3.96,5.57,0.49,0,0.0,1,0.07,0.76,0.0,0,0.0,0.0,0,0.0,2,0.14,0.0,0.0,0.0,0.69,30.0,0.69,30.0,0.0,0.0,0.21,0.83,66.67,2.5,47.22,0.28,0.69,0.14,24.53,0.97,1.04,38.29,73.5,22.17,62.7,4.38,92.06,8.76,86.51,27.52,87.63,10.15,38.36,25.37,41.49,0.01,0.21,0.0,0.0,0.07,0.0,0.07,10.15,45.89,1.39,40.0,0.42,33.33,0.35,0.35,10.36,70.47,0,,0,,0,0.0,0.0,0.0,,,1.53,,,0.07,0.0,0.0,0.0,0,0.0
31,M. Ram,-284374,https://cdn5.wyscout.com/photos/players/public/g-284374_100x130.png,https://cdn5.wyscout.com/photos/team/public/3702_120x120.png,000000,England,['England'],Alfreton Town,0,22,1979,Alfreton Town,"['RCB', 'RB', 'LCB']",23.0,,0,0.41,0,0.15,20.46,56.89,right,191,0,False,9.69,7.69,68.05,6.96,50.98,0.27,0.36,0.59,4.18,5.53,1.23,8,0.36,0,0.0,0.68,0.0,0,0.0,0.02,0,0.0,6,0.27,16.67,0.0,0.0,0.41,33.33,0.0,0.0,0.41,33.33,0.0,0.64,78.57,2.05,51.11,0.18,0.55,0.14,14.19,0.55,0.96,27.83,73.86,13.05,57.49,3.82,97.62,8.96,89.85,21.6,84.63,5.82,36.72,23.26,40.0,0.01,0.09,0.0,0.0,0.0,0.0,0.05,4.18,41.3,0.73,18.75,0.36,12.5,0.05,0.14,5.87,51.16,0,,0,,0,0.0,0.0,0.0,,,2.87,,,0.0,0.0,0.0,0.0,0,0.0
32,D. Morse,399069,https://cdn5.wyscout.com/photos/players/public/g399069_100x130.png,https://cdn5.wyscout.com/photos/team/public/g21855_120x120.png,000000,England,['England'],South Shields,0,21,1801,South Shields,"['RCB', 'RCB3', 'LCB']",29.0,2024-06-30,1,0.52,0,0.3,15.74,62.86,,0,0,False,8.55,4.95,77.78,5.7,55.26,0.45,0.72,0.75,4.25,6.82,0.5,2,0.1,0,0.0,0.15,0.05,1,0.05,0.03,1,0.05,2,0.1,100.0,50.0,0.0,0.05,100.0,0.0,0.0,0.05,100.0,0.0,0.05,0.0,1.25,44.0,0.35,0.75,0.0,30.28,0.45,0.7,46.67,83.73,20.49,70.49,3.15,96.83,17.94,95.54,38.83,89.45,7.8,55.13,21.56,39.84,0.01,0.15,0.05,0.0,0.0,0.0,0.1,6.0,60.83,0.5,40.0,0.9,33.33,0.2,0.05,8.8,67.05,0,,0,,0,0.0,0.0,0.0,,,2.05,,,0.05,0.0,0.0,0.0,0,0.0
33,N. Kight Perciual,-573589,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/2751_120x120.png,000000,,[],Tamworth,0,3,300,Tamworth,['LCB'],,,0,1.03,0,0.02,15.61,64.71,,0,0,False,5.05,4.13,77.78,6.89,60.0,0.0,0.0,0.0,1.84,3.43,0.46,0,0.0,0,0.0,0.46,0.0,0,0.0,0.47,0,0.0,2,0.92,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.46,0.0,0.46,0.46,100.0,1.38,33.33,2.3,0.46,0.0,5.05,0.0,0.92,18.83,58.54,11.48,36.0,1.38,100.0,5.05,90.91,13.78,73.33,4.59,20.0,23.28,44.04,0.01,0.46,0.0,0.0,0.0,0.0,0.0,3.21,14.29,0.92,0.0,0.0,0.0,0.46,0.46,6.43,28.57,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,0,0.0
34,J. Curtis,34489,https://cdn5.wyscout.com/photos/players/public/64790_100x130.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,8,579,Spennymoor Town,"['RCB', 'RCB3', 'CB']",42.0,2024-06-30,0,0.25,0,0.2,13.99,58.89,right,196,0,False,8.86,5.6,61.11,4.97,62.5,0.62,0.86,0.31,4.82,6.69,0.78,1,0.16,0,0.0,0.16,0.0,0,0.0,0.04,0,0.0,2,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.78,40.0,0.47,0.0,0.0,26.27,0.78,0.47,43.06,85.92,20.21,76.15,1.55,90.0,18.34,95.76,37.93,90.98,5.13,48.48,25.16,34.43,0.03,0.16,0.0,0.0,0.0,0.0,0.0,4.35,60.71,0.31,0.0,0.62,50.0,0.16,0.0,8.7,73.21,0,,0,,0,0.0,0.0,0.0,,,1.24,,,0.0,0.0,0.0,0.0,0,0.0
35,G. Liddle,50925,https://cdn5.wyscout.com/photos/players/public/33300_100x130.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,29,2875,Spennymoor Town,['RCB'],37.0,2024-06-30,0,0.05,1,0.01,14.18,62.25,right,185,79,False,9.33,4.98,75.47,6.29,56.72,0.38,0.62,0.97,5.2,8.51,0.31,3,0.09,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.03,0.13,75.0,0.03,0.0,0.09,100.0,0.0,0.09,0.0,0.85,51.85,0.22,1.31,0.16,32.53,0.44,0.56,50.78,89.77,20.38,80.8,2.94,96.81,22.48,97.35,44.48,93.95,6.2,60.1,22.25,42.91,0.0,0.03,0.0,0.0,0.06,50.0,0.0,4.76,67.11,0.47,33.33,0.16,20.0,0.06,0.09,8.3,69.81,0,,0,,0,0.0,0.0,0.0,,,1.97,,,0.0,0.0,0.0,0.0,0,0.0
36,M. Ledger,452160,https://cdn5.wyscout.com/photos/players/public/g452160_100x130.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,29,2284,Spennymoor Town,"['RB', 'LCB3']",26.0,2024-06-30,0,0.28,1,0.05,15.76,59.0,right,186,77,False,9.97,7.64,63.4,4.45,55.75,0.32,0.43,0.47,4.81,6.54,0.51,5,0.2,0,0.0,0.35,0.0,0,0.0,0.01,0,0.0,2,0.08,50.0,0.0,0.04,0.43,27.27,0.04,0.0,0.39,30.0,0.04,0.32,62.5,1.06,51.85,0.08,0.67,0.16,18.01,0.32,0.28,32.23,77.38,15.6,65.91,3.74,94.74,8.24,88.52,25.77,83.94,6.07,53.25,20.55,33.2,0.0,0.04,0.0,0.0,0.0,0.0,0.04,5.67,53.47,1.06,44.44,0.79,45.0,0.35,0.16,8.71,67.87,0,,0,,0,0.0,0.0,0.0,,,1.02,,,0.0,0.0,0.0,0.0,0,0.0
37,B. Pollock,465451,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,['England'],Spennymoor Town,0,39,3652,Spennymoor Town,"['LCB', 'CB']",26.0,2024-06-30,3,3.42,3,1.5,19.1,68.9,right,183,88,False,10.67,5.96,78.1,9.0,72.33,0.76,1.05,0.71,5.25,7.24,0.64,4,0.1,1,0.02,0.39,0.07,3,0.07,0.08,1,0.02,17,0.42,35.29,17.647,0.07,0.07,66.67,0.07,66.67,0.0,0.0,0.02,0.32,53.85,1.38,41.07,0.64,0.81,0.35,19.62,0.12,0.52,36.23,82.31,17.77,70.87,1.87,96.05,13.68,95.14,29.94,88.56,6.21,52.38,22.46,38.12,0.04,0.1,0.0,0.0,0.02,100.0,0.07,4.63,53.19,0.44,33.33,0.3,25.0,0.17,0.02,7.59,66.23,0,,0,,0,0.0,0.0,0.0,,,1.4,,,0.02,0.0,0.0,0.0,0,0.0
38,R. Staunton,521380,https://cdn5.wyscout.com/photos/players/public/g521380_100x130.png,https://cdn5.wyscout.com/photos/team/public/g23906_120x120.png,000000,England,"['England', 'Republic of Ireland']",Spennymoor Town,0,42,3831,Spennymoor Town,"['LB', 'LCB3']",22.0,2024-06-30,2,1.51,3,4.96,24.53,58.05,left,183,0,False,10.97,8.32,64.69,6.11,69.23,0.23,0.32,0.33,5.36,7.21,0.82,5,0.12,0,0.0,3.45,0.05,2,0.05,0.04,0,0.0,15,0.35,40.0,13.333,0.07,3.43,34.93,3.36,34.27,0.05,50.0,0.7,3.64,57.42,6.6,46.98,0.49,2.23,0.52,28.9,1.17,0.92,46.07,66.7,23.02,54.59,5.22,93.69,13.18,77.01,31.06,79.58,11.77,41.52,25.83,42.22,0.12,0.78,0.07,0.07,0.12,20.0,0.47,10.67,47.36,3.99,40.59,1.1,25.53,0.49,1.29,13.56,64.64,0,,0,,0,0.0,0.0,0.0,,,1.15,,,0.28,0.07,66.67,0.49,0,0.0
39,R. McAuley,83308,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g34054_120x120.png,000000,England,['England'],Peterborough Sports,0,11,1076,Peterborough Sports,['CB'],34.0,,0,1.22,0,0.0,17.82,62.44,right,178,0,False,10.12,6.02,65.28,6.78,67.9,0.33,0.53,0.33,5.86,9.33,1.34,2,0.17,0,0.0,0.59,0.0,0,0.0,0.1,0,0.0,5,0.42,40.0,0.0,0.0,0.25,66.67,0.08,100.0,0.17,50.0,0.08,0.25,100.0,1.09,61.54,1.0,0.17,0.0,10.2,0.25,0.59,28.27,72.78,19.24,66.09,1.0,100.0,6.52,88.46,18.74,77.68,9.28,63.06,25.24,35.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,54.29,0.5,66.67,0.17,0.0,0.33,0.17,9.79,63.25,0,,0,,0,0.0,0.0,0.0,,,0.84,,,0.0,0.0,0.0,0.0,0,0.0
40,R. Fryatt,213431,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g34054_120x120.png,000000,England,['England'],Peterborough Sports,0,19,1688,Peterborough Sports,"['RCB3', 'CB', 'LCB3']",30.0,,0,0.91,0,0.46,15.62,63.14,right,186,0,False,10.29,5.33,71.0,7.25,63.97,0.11,0.16,0.69,6.4,9.38,0.37,1,0.05,1,0.05,0.75,0.0,0,0.0,0.05,0,0.0,9,0.48,22.22,0.0,0.0,0.64,58.33,0.11,50.0,0.53,60.0,0.0,0.32,66.67,0.85,56.25,0.91,1.17,0.32,16.32,0.91,0.16,35.03,70.93,19.51,60.66,2.77,88.46,9.6,85.0,24.69,77.32,9.76,55.19,22.9,36.81,0.02,0.37,0.05,0.05,0.11,50.0,0.21,8.37,52.23,1.23,43.48,0.48,33.33,0.43,0.32,10.56,66.67,0,,0,,0,0.0,0.0,0.0,,,1.12,,,0.0,0.0,0.0,0.0,0,0.0
41,C. Johnson,452929,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g34054_120x120.png,000000,England,['England'],Peterborough Sports,0,27,2312,Peterborough Sports,"['CB', 'RCB3', 'LCB3']",26.0,2024-06-30,0,1.31,0,0.18,24.68,59.78,right,186,75,False,14.17,9.69,72.29,7.67,57.87,0.78,1.1,0.78,6.38,9.01,1.71,9,0.35,1,0.04,0.58,0.0,0,0.0,0.05,0,0.0,10,0.39,20.0,0.0,0.0,0.16,75.0,0.0,0.0,0.16,75.0,0.0,0.78,50.0,3.39,42.53,0.62,0.54,0.08,12.53,0.23,0.78,27.95,69.78,16.15,59.52,2.18,92.86,7.2,86.49,19.93,79.3,7.94,46.08,22.83,36.28,0.01,0.08,0.04,0.0,0.0,0.0,0.04,6.03,49.03,0.93,29.17,0.7,38.89,0.16,0.08,7.82,59.7,0,,0,,0,0.0,0.0,0.0,,,1.28,,,0.04,0.0,0.0,0.0,0,0.0
42,R. Misambo,-461388,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,35,3314,Farsley Celtic FC,"['CB', 'RCB']",30.0,,0,2.14,1,0.98,23.98,64.78,right,193,0,False,11.98,8.58,74.05,10.92,65.42,0.3,0.43,0.54,5.32,7.61,0.87,4,0.11,1,0.03,0.38,0.0,0,0.0,0.06,0,0.0,20,0.54,20.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.54,50.0,1.82,35.82,0.68,0.11,0.0,3.58,0.16,0.35,16.48,64.09,10.67,58.27,0.95,82.86,3.34,75.61,12.6,70.47,3.86,43.66,22.91,36.73,0.03,0.08,0.0,0.0,0.0,0.0,0.05,2.88,40.57,0.46,11.76,0.22,12.5,0.11,0.0,5.57,53.17,0,,0,,0,0.0,0.0,0.0,,,0.62,,,0.0,0.0,0.0,0.0,0,0.0
43,J. Granite,-92234,https://cdn5.wyscout.com/reports-img/photo-not-found.png,https://cdn5.wyscout.com/photos/team/public/g6882_120x120.png,000000,England,['England'],Buxton,0,24,1750,Buxton,"['CB', 'RCB', 'LCB']",32.0,2024-06-30,0,0.51,1,0.02,14.71,63.29,right,183,0,False,9.05,4.53,75.0,6.79,62.12,0.1,0.16,0.72,5.55,8.8,0.51,3,0.15,0,0.0,0.21,0.0,0,0.0,0.03,0,0.0,5,0.26,20.0,0.0,0.05,0.26,40.0,0.1,0.0,0.15,66.67,0.05,0.1,50.0,0.72,28.57,0.36,0.67,0.0,11.98,0.05,0.21,26.74,69.42,13.94,52.4,1.8,91.43,9.51,91.35,19.95,78.61,6.53,42.52,24.41,36.32,0.0,0.05,0.05,0.0,0.0,0.0,0.05,5.5,47.66,0.72,21.43,0.57,27.27,0.05,0.1,7.77,50.99,0,,0,,0,0.0,0.0,0.0,,,1.34,,,0.05,0.0,0.0,0.0,0,0.0
44,C. Atkinson,149026,https://cdn5.wyscout.com/photos/players/public/g149026_100x130.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,42,4000,Farsley Celtic FC,"['RCB3', 'RCMF', 'DMF']",32.0,2024-06-30,3,1.27,0,4.1,14.72,58.26,right,185,76,False,8.24,5.51,68.16,5.36,60.08,0.16,0.23,0.5,4.32,6.38,0.52,10,0.23,1,0.02,0.63,0.07,3,0.07,0.03,0,0.0,16,0.36,43.75,18.75,0.0,0.77,44.12,0.18,50.0,0.56,40.0,0.07,0.25,54.55,1.17,30.77,0.41,0.2,0.05,10.1,0.36,0.32,24.66,67.52,14.54,56.35,2.5,91.89,5.54,81.71,15.98,78.59,7.92,47.44,22.83,34.33,0.09,0.74,0.05,0.0,0.0,0.0,0.11,6.77,47.84,1.4,46.77,0.45,45.0,0.43,0.34,7.38,68.29,0,,0,,0,0.0,0.0,0.0,,,0.7,,,1.35,0.05,50.0,1.17,0,0.0
45,L. Turner,203657,https://cdn5.wyscout.com/photos/players/public/g203657_100x130.png,https://cdn5.wyscout.com/photos/team/public/g25837_120x120.png,000000,England,['England'],Farsley Celtic FC,0,11,972,Farsley Celtic FC,"['RWB', 'RCB3', 'LB5']",31.0,,1,0.09,0,0.43,17.96,57.73,right,178,70,False,10.74,7.78,66.67,4.72,54.9,0.37,0.52,0.56,5.19,7.34,0.28,1,0.09,0,0.0,1.76,0.09,1,0.09,0.01,0,0.0,3,0.28,33.33,33.333,0.0,1.39,60.0,0.46,60.0,0.93,60.0,0.19,1.57,52.94,3.61,48.72,0.28,0.56,0.0,14.63,0.56,0.83,28.8,70.1,13.98,54.3,6.67,94.44,5.0,77.78,21.39,79.22,6.11,40.91,19.97,36.71,0.04,0.28,0.0,0.0,0.0,0.0,0.09,5.37,50.0,1.48,50.0,0.19,0.0,0.19,0.65,6.85,63.51,0,,0,,0,0.0,0.0,0.0,,,1.76,,,0.0,0.0,0.0,0.0,0,0.0
