,name,current_team_name,total_matches,positions,save_percent,prevented_goals_avg,Shots_PGoal,accurate_passes_percent,conceded_goals_avg,xg_save_avg,norm_save_percent,norm_prevented_goals_avg,norm_Shots_PGoal,norm_accurate_passes_percent,norm_xg_save_avg,norm_conceded_goals_avg,combined_score,z_score
0,A. Chapman,Boston United,12,['GK'],79.55,0.416,4.9,77.56,0.68,1.1,0.9620268472608537,1.0,0.8448275862068967,0.8849840255591055,0.5188679245283019,0.7030567685589519,4.068935565907213,2.008670935537078
1,J. Ollerenshaw,Curzon Ashton,12,['GK'],82.69,0.373,5.8,75.77,0.69,1.06,1.0,0.8966346153846154,1.0,0.8645595618439068,0.5,0.6986899563318778,3.9598841335604,1.8353792658422843
2,Z. Leban,Farsley Celtic FC,40,['GK'],76.65,0.324,4.3,71.79,1.05,1.38,0.926956101100496,0.7788461538461539,0.7413793103448276,0.8191465084436331,0.6509433962264151,0.5414847161572052,3.717376875773903,1.4500153443370771
3,B. James,Spennymoor Town,15,['GK'],80.0,0.243,5.0,74.81,0.74,0.98,0.9674688595960818,0.5841346153846154,0.8620689655172414,0.8536056595162027,0.4622641509433962,0.6768558951965066,3.5443291806368027,1.1750283645074628
4,J. Singh,Tamworth,42,['GK'],78.57,0.241,4.7,71.31,0.58,0.82,0.9501753537308018,0.5793269230769231,0.810344827586207,0.813669557279781,0.38679245283018865,0.7467248908296944,3.4766891777473887,1.067542852519048
5,J. Young,Buxton,16,['GK'],69.23,0.251,3.2,63.3,1.13,1.38,0.8372233643729593,0.6033653846153847,0.5517241379310345,0.7222729347329986,0.6509433962264151,0.5065502183406114,3.3203552982883693,0.819115496561355
6,W. Stanway,Chester,45,['GK'],74.66,0.132,3.9,78.74,0.75,0.89,0.9028903132180433,0.31730769230769235,0.6724137931034483,0.8984481971702418,0.41981132075471694,0.6724890829694323,3.210946606420127,0.645256112186887
7,M. Boney,South Shields,44,['GK'],72.73,0.085,3.7,87.64,1.05,1.14,0.8795501269802879,0.2043269230769231,0.6379310344827587,1.0,0.5377358490566037,0.5414847161572052,3.16309761527102,0.5692201409850614
8,M. Urwin,Chorley,32,['GK'],70.73,0.112,3.4,82.88,1.03,1.14,0.8553634054903858,0.2692307692307693,0.5862068965517241,0.9456869009584664,0.5377358490566037,0.5502183406113537,3.158235265347579,0.5614934681781079
9,J. Harding,Banbury United,37,['GK'],68.39,0.096,3.2,81.05,1.5,1.59,0.8270649413472004,0.23076923076923078,0.5517241379310345,0.9248060246462801,0.75,0.34497816593886466,3.077618362701576,0.43338659819478403
10,P. Crook,Peterborough Sports,42,['GK'],72.56,0.095,3.6,74.36,1.29,1.39,0.8774942556536462,0.22836538461538464,0.6206896551724138,0.8484710178000913,0.6556603773584905,0.4366812227074236,3.046672258135036,0.3842107000384853
11,C. Mason,Curzon Ashton,33,['GK'],73.61,0.037,3.8,84.0,1.04,1.08,0.8901922844358447,0.0889423076923077,0.6551724137931034,0.9584664536741214,0.5094339622641509,0.5458515283842795,2.9928865364507047,0.2987407771238083
12,D. Atherton,Warrington Town,38,['GK'],71.82,0.084,3.5,72.94,1.22,1.3,0.8685451687023823,0.20192307692307696,0.603448275862069,0.8322683706070287,0.6132075471698113,0.4672489082969432,2.9831930716992425,0.28333706663822483
13,D. Lewis,Brackley Town,41,['GK'],72.88,0.02,3.7,79.12,0.71,0.73,0.8813641310920305,0.04807692307692308,0.6379310344827587,0.9027841168416249,0.3443396226415094,0.6899563318777293,2.8665211255298173,0.09793577549386707
14,C. Gregory,Boston United,31,['GK'],67.31,0.02,3.1,80.06,1.0,1.02,0.8140041117426533,0.04807692307692308,0.5344827586206897,0.9135098128708352,0.4811320754716981,0.5633187772925764,2.820041700454686,0.024076157106572068
15,C. Pond,Hereford FC,44,['GK'],68.91,0.023,3.2,72.41,1.23,1.25,0.833353488934575,0.05528846153846154,0.5517241379310345,0.826220903696942,0.5896226415094339,0.46288209606986896,2.7673675917492813,-0.059627321617257756
16,M. Dearnley,Chorley,37,['GK'],68.75,-0.021,3.2,78.98,1.11,1.08,0.8314185512153828,-0.05048076923076924,0.5517241379310345,0.901186672752168,0.5094339622641509,0.5152838427947598,2.7068422597956925,-0.15580703798918613
17,J. Weaver,Rushall Olympic,38,['GK'],67.21,-0.039,3.0,82.69,1.45,1.42,0.8127947756681582,-0.09375,0.5172413793103449,0.9435189411227749,0.6698113207547169,0.3668122270742359,2.699187264619886,-0.16797145313691525
18,R. Whitley,Scarborough Athletic,35,['GK'],74.13,-0.007,3.9,67.51,0.97,0.97,0.8964808320232193,-0.01682692307692308,0.6724137931034483,0.7703103605659517,0.4575471698113207,0.5764192139737991,2.6839306532973675,-0.19221545977733742
19,D. Langley,Blyth Spartans,15,['GK'],67.14,-0.071,3.0,82.32,1.42,1.35,0.8119482404160117,-0.17067307692307693,0.5172413793103449,0.9392971246006389,0.6367924528301887,0.3799126637554585,2.597277404679221,-0.3299145785725936
20,G. Willis,Alfreton Town,45,['GK'],67.32,-0.046,3.1,74.69,1.01,0.96,0.8141250453501028,-0.11057692307692309,0.5344827586206897,0.8522364217252396,0.45283018867924524,0.5589519650655022,2.5675666977431666,-0.3771273285746982
21,R. Fitzsimons,Scunthorpe United,42,['GK'],73.13,-0.101,3.7,81.65,0.77,0.67,0.8843874712782682,-0.24278846153846156,0.6379310344827587,0.9316522136010954,0.3160377358490566,0.6637554585152838,2.5530444177052427,-0.40020442257878025
22,C. Renshaw,Southport,41,['GK'],69.78,-0.09,3.3,77.66,1.51,1.42,0.8438747127826823,-0.21634615384615385,0.5689655172413793,0.8861250570515746,0.6698113207547169,0.3406113537117904,2.5240762904546106,-0.44623715255914886
23,M. Young,Darlington 1883,13,['GK'],72.09,-0.099,3.6,79.2,0.85,0.75,0.8718103761035192,-0.23798076923076925,0.6206896551724138,0.9036969420356002,0.35377358490566035,0.62882096069869,2.5201210945127004,-0.4525222832905263
24,A. Mitchell,Blyth Spartans,27,['GK'],64.41,-0.1,2.8,85.06,1.45,1.35,0.7789333655822953,-0.24038461538461542,0.48275862068965514,0.9705613874942949,0.6367924528301887,0.3668122270742359,2.5127148175963994,-0.4642914647256321
25,P. Jones,King's Lynn Town,42,['GK'],68.68,-0.139,3.2,76.19,1.24,1.1,0.8305720159632363,-0.3341346153846154,0.5517241379310345,0.8693518941122774,0.5188679245283019,0.4585152838427947,2.3431725030619948,-0.7337081072888362
26,J. Thompson,Gloucester City,10,['GK'],60.94,-0.168,2.6,73.49,2.29,2.12,0.7369694037973152,-0.4038461538461539,0.4482758620689655,0.8385440438156092,1.0,0.0,2.1716672937667703,-1.0062439506109617
27,J. Montgomery,Spennymoor Town,26,['GK'],62.71,-0.204,2.7,79.76,1.55,1.35,0.7583746523158786,-0.49038461538461536,0.4655172413793104,0.9100867183934277,0.6367924528301887,0.3231441048034934,2.138013312958373,-1.0597228861981303
28,J. Cracknell,Scarborough Athletic,10,['GK'],67.92,-0.276,3.1,74.83,1.53,1.26,0.8213810617970735,-0.6634615384615385,0.5344827586206897,0.8538338658146964,0.5943396226415094,0.3318777292576419,1.9379707410493827,-1.3776069391641041
29,J. Giddens,Bishop's Stortford,45,['GK'],61.05,-0.357,2.6,72.45,2.27,1.92,0.7382996734792598,-0.8581730769230769,0.4482758620689655,0.8266773162939297,0.9056603773584905,0.008733624454148492,1.6211979146627515,-1.8809849399582623
30,T. Taylor,Darlington 1883,28,['GK'],54.46,-0.49,2.2,78.29,1.65,1.16,0.6586044261700327,-1.1778846153846154,0.37931034482758624,0.8933135554541306,0.5471698113207547,0.2794759825327512,1.2006791600930538,-2.54922372920776
